Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Contain_Control_Date,Year
Bean Complex,AK,AK,06/25/2022,08/06/2022,"212,504",U,$11656365,WF,,2022.0
Koktuli River,AK,AK,06/08/2022,06/12/2022,"205,862",L,NR,WF,,2022.0
Hog Butte,AK,AK,06/05/2022,07/06/2022,"204,145",L,$628717,WF,,2022.0
Double Creek,NW,OR,08/30/2022,10/21/2022,"171,532",L,$39500000,WF,,2022.0
East Fork,AK,AK,06/02/2022,07/27/2022,"166,760",L,$6150000,WF,,2022.0
Poorman Complex,AK,AK,06/28/2022,09/07/2022,"140,355",U,NR,WF,,2022.0
Moose,GB,ID,07/17/2022,11/10/2022,"130,205",H,$98200000,WF,,2022.0
Cedar Creek,NW,OR,08/04/2022,11/24/2022,"127,311",L,$133750000,WF,,2022.0
Aghaluk Mountain,AK,AK,06/06/2022,06/14/2022,"115,030",L,$12726992,WF,,2022.0
Door Mountain,AK,AK,06/09/2022,06/10/2022,"114,294",L,$500,WF,,2022.0
Chitanana,AK,AK,06/19/2022,06/23/2022,"100,246",L,$1148818,WF,,2022.0
"Dalton Highway
Complex",AK,AK,07/01/2022,08/04/2022,"91,679",U,$6971097,WF,,2022.0
Pike Creek,AK,AK,06/08/2022,07/29/2022,"88,108",L,$76037,WF,,2022.0
Swift River,AK,AK,06/08/2022,06/12/2022,"85,073",L,NR,WF,,2022.0
Apoon Pass,AK,AK,06/09/2022,06/30/2022,"84,138",L,NR,WF,,2022.0
Mosquito,NO,CA,09/06/2022,10/23/2022,"76,788",H,$181100000,WF,,2022.0
Clear,AK,AK,06/21/2022,09/08/2022,"73,284",L,$2363465,WF,,2022.0
Bitzshitini,AK,AK,06/19/2022,06/23/2022,"71,266",L,$216545,WF,,2022.0
Camp Creek,AK,AK,06/27/2022,06/27/2022,"69,006",L,$45000,WF,,2022.0
Donut,AK,AK,06/21/2022,06/23/2022,"68,348",L,$45000,WF,,2022.0
