Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Year,Duration_Days,Start_Month
Gold Pan Complex,Unknown,MT,2013-07-16,2013-10-03,43429.0,L,11860878.0,WF,2013.0,79,7
Lime Complex,AK,AK,2022-06-15,2022-07-26,865625.0,U,12726992.0,WF,2022.0,41,6
Hermits Peak,SW,NM,2022-04-07,2022-10-20,341735.0,H,330100293.0,WF,2022.0,196,4
Black,SW,NM,2022-05-13,2022-11-10,325136.0,H,60190000.0,WF,2022.0,181,5
Paradise Complex,AK,AK,2022-07-07,2022-08-11,275703.0,U,2782896.0,WF,2022.0,35,7
Tatlawiksuk,AK,AK,2022-06-05,2022-07-22,229439.0,L,75965.0,WF,2022.0,47,6
NC HPAI 2022,SA,NC,2022-04-11,2022-04-19,212865.0,U,484012.0,WF,2022.0,8,4
Bean Complex,AK,AK,2022-06-25,2022-08-06,212504.0,U,11656365.0,WF,2022.0,42,6
Koktuli River,AK,AK,2022-06-08,2022-06-12,205862.0,L,,WF,2022.0,4,6
Hog Butte,AK,AK,2022-06-05,2022-07-06,204145.0,L,628717.0,WF,2022.0,31,6
Double Creek,NW,OR,2022-08-30,2022-10-21,171532.0,L,39500000.0,WF,2022.0,52,8
East Fork,AK,AK,2022-06-02,2022-07-27,166760.0,L,6150000.0,WF,2022.0,55,6
Poorman Complex,AK,AK,2022-06-28,2022-09-07,140355.0,U,,WF,2022.0,71,6
Moose,GB,ID,2022-07-17,2022-11-10,130205.0,H,98200000.0,WF,2022.0,116,7
Cedar Creek,NW,OR,2022-08-04,2022-11-24,127311.0,L,133750000.0,WF,2022.0,112,8
Aghaluk Mountain,AK,AK,2022-06-06,2022-06-14,115030.0,L,12726992.0,WF,2022.0,8,6
Door Mountain,AK,AK,2022-06-09,2022-06-10,114294.0,L,500.0,WF,2022.0,1,6
Chitanana,AK,AK,2022-06-19,2022-06-23,100246.0,L,1148818.0,WF,2022.0,4,6
"Dalton Highway
Complex",AK,AK,2022-07-01,2022-08-04,91679.0,U,6971097.0,WF,2022.0,34,7
Pike Creek,AK,AK,2022-06-08,2022-07-29,88108.0,L,76037.0,WF,2022.0,51,6
Swift River,AK,AK,2022-06-08,2022-06-12,85073.0,L,,WF,2022.0,4,6
Apoon Pass,AK,AK,2022-06-09,2022-06-30,84138.0,L,,WF,2022.0,21,6
Mosquito,NO,CA,2022-09-06,2022-10-23,76788.0,H,181100000.0,WF,2022.0,47,9
Clear,AK,AK,2022-06-21,2022-09-08,73284.0,L,2363465.0,WF,2022.0,79,6
Bitzshitini,AK,AK,2022-06-19,2022-06-23,71266.0,L,216545.0,WF,2022.0,4,6
Camp Creek,AK,AK,2022-06-27,2022-06-27,69006.0,L,45000.0,WF,2022.0,0,6
Donut,AK,AK,2022-06-21,2022-06-23,68348.0,L,45000.0,WF,2022.0,2,6
"Middle Tanana
Complex",AK,AK,2022-07-03,2022-09-08,62861.0,U,3434457.0,WF,2022.0,67,7
North Fork,AK,AK,2022-06-21,2022-07-21,60750.0,L,,WF,2022.0,30,6
McKinney,NO,CA,2022-07-29,2022-11-07,60138.0,U,96580000.0,WF,2022.0,101,7
Cooks Peak,SW,NM,2022-04-17,2022-05-31,59359.0,U,12500000.0,WF,2022.0,44,4
Lansing Creek,AK,AK,2022-06-21,2022-07-21,56371.0,L,,WF,2022.0,30,6
Eastland Complex,SA,TX,2022-03-17,2022-04-06,54513.0,U,7.0,WF,2022.0,20,3
Door Creek,AK,AK,2022-06-13,2022-06-13,54006.0,L,,WF,2022.0,0,6
Schilling Creek,AK,AK,2022-06-17,2022-07-21,53526.0,L,50000.0,WF,2022.0,34,6
Titnuk Creek,AK,AK,2022-06-09,2022-06-11,53291.0,L,,WF,2022.0,2,6
Borrega,SA,TX,2022-03-30,2022-04-04,51566.0,H,,WF,2022.0,5,3
"Fourth of July
Creek",AK,AK,2022-06-08,2022-07-22,51146.0,L,70912.0,WF,2022.0,44,6
Radio Creek,AK,AK,2022-06-21,2022-07-27,45801.0,L,75000.0,WF,2022.0,36,6
Kiknik,AK,AK,2022-06-09,2022-06-11,45734.0,L,3033.0,WF,2022.0,2,6
Cerro Pelado,SW,NM,2022-04-22,2022-07-11,45605.0,H,46800000.0,WF,2022.0,80,4
Long Butte,EB,ID,2010-08-21,2010-09-03,306113.0,L,4225000.0,WF,2010.0,13,8
Toklat,AK,AK,2010-05-16,2010-06-04,171727.0,L,2109186.0,WF,2010.0,19,5
Jefferson,EB,ID,2010-07-13,2010-07-17,109436.0,H,700819.0,WF,2010.0,4,7
Turquoise Lake,AK,AK,2010-05-18,2010-09-07,91885.0,H,317515.0,WF,2010.0,112,5
Big Mountain,AK,AK,2010-06-02,2010-09-02,83746.0,L,,WF,2010.0,92,6
Pat Creek,AK,AK,2010-06-25,2010-12-30,72692.0,L,11622393.0,WF,2010.0,188,6
Lone Mountain,AK,AK,2010-05-29,2010-12-22,51996.0,L,10044.0,WF,2010.0,207,5
Twitchell Canyon,EB,UT,2010-07-20,2010-11-18,44892.0,L,17363000.0,WF,2010.0,121,7
Bull Creek,AK,AK,2010-05-31,2010-06-25,41911.0,L,,WF,2010.0,25,5
Anderson Creek,SA,OK,2016-03-23,2016-04-04,367740.0,U,1750000.0,WF,2016.0,12,3
Pioneer,GB,ID,2016-07-18,2016-10-27,188404.0,U,90000000.0,WF,2016.0,101,7
Range 12,NW,WA,2016-07-30,2016-08-08,176600.0,U,1700000.0,WF,2016.0,9,7
Soberanes,SO,CA,2016-07-22,2016-10-23,132127.0,H,262500000.0,WF,2016.0,93,7
Hot Pot,GB,NV,2016-07-02,2016-07-10,122292.0,U,3402259.0,WF,2016.0,8,7
Alatna Complex,AK,AK,2016-06-28,2016-07-24,113157.0,L,1040018.0,WF,2016.0,26,6
Virginia Mountains Complex,GB,NV,2016-07-29,2016-08-06,59727.0,L,8000200.0,WF,2016.0,8,7
Dulbi Flats,AK,AK,2016-06-26,2016-08-26,58138.0,L,,WF,2016.0,61,6
350 Complex,SA,OK,2016-05-05,2016-05-15,57167.0,U,900000.0,WF,2016.0,10,5
Henrys Creek,GB,ID,2016-08-21,2016-08-31,52972.0,U,4320000.0,WF,2016.0,10,8
Erskine,SO,CA,2016-06-23,2016-07-07,48019.0,U,23000000.0,WF,2016.0,14,6
