Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Year,Duration_Days,Start_Month,Cost_Source
Bull Creek,AK,AK,2010-05-31,2010-06-25,41911.0,L,7144294.5,WF,2010.0,25,5,Imputed
Anderson Creek,SA,OK,2016-03-23,2016-04-04,367740.0,U,1750000.0,WF,2016.0,12,3,Original
Pioneer,GB,ID,2016-07-18,2016-10-27,188404.0,U,90000000.0,WF,2016.0,101,7,Original
Range 12,NW,WA,2016-07-30,2016-08-08,176600.0,U,1700000.0,WF,2016.0,9,7,Original
Soberanes,SO,CA,2016-07-22,2016-10-23,132127.0,H,262500000.0,WF,2016.0,93,7,Original
Hot Pot,GB,NV,2016-07-02,2016-07-10,122292.0,U,3402259.0,WF,2016.0,8,7,Original
Alatna Complex,AK,AK,2016-06-28,2016-07-24,113157.0,L,1040018.0,WF,2016.0,26,6,Original
Virginia Mountains Complex,GB,NV,2016-07-29,2016-08-06,59727.0,L,8000200.0,WF,2016.0,8,7,Original
Dulbi Flats,AK,AK,2016-06-26,2016-08-26,58138.0,L,7986985.0,WF,2016.0,61,6,Imputed
350 Complex,SA,OK,2016-05-05,2016-05-15,57167.0,U,900000.0,WF,2016.0,10,5,Original
Henrys Creek,GB,ID,2016-08-21,2016-08-31,52972.0,U,4320000.0,WF,2016.0,10,8,Original
Erskine,SO,CA,2016-06-23,2016-07-07,48019.0,U,23000000.0,WF,2016.0,14,6,Original
Chimney,SO,CA,2016-08-13,2016-09-05,46344.0,U,78300000.0,WF,2016.0,23,8,Original
Cedar,SW,AZ,2016-06-15,2016-07-28,45977.0,U,14000000.0,WF,2016.0,43,6,Original
Maple,RM,WY,2016-08-08,2016-10-27,45516.0,L,6267928.0,WF,2016.0,80,8,Original
Crutch Complex,SA,TX,2016-03-24,2016-03-24,44696.0,U,5765228.5,WF,2016.0,0,3,Imputed
Big Mud,AK,AK,2016-06-01,2016-06-19,42641.0,L,59268.0,WF,2016.0,18,6,Original
North,SW,NM,2016-05-21,2016-07-14,42102.0,L,4800000.0,WF,2016.0,54,5,Original
Rail,NW,OR,2016-07-31,2016-09-29,41706.0,U,34900000.0,WF,2016.0,60,7,Original
Cottonwood CA,RM,SD,2016-10-16,2016-10-18,41360.0,U,170000.0,WF,2016.0,2,10,Original
Long Draw,NW,OR,2012-07-08,2012-07-30,557628.0,L,4360000.0,WF,2012.0,22,7,Original
Holloway,NW/WB,OR/NV,2012-08-05,2012-08-23,460850.0,L,9166719.0,WF,2012.0,18,8,Original
Mustang Complex,EB,ID,2012-07-30,2012-10-18,341488.0,L,38323413.0,WF,2012.0,80,7,Original
Rush,NO,CA,2012-08-12,2012-09-04,315577.0,L,15170000.0,WF,2012.0,23,8,Original
Whitewater-Baldy,SW,NM,2012-05-16,2012-07-31,297845.0,L,23000000.0,WF,2012.0,76,5,Original
Ash Creek,Unknown,MT,2012-06-25,2012-07-11,249562.0,L,7500000.0,WF,2012.0,16,6,Original
Kinyon Road,EB,ID,2012-07-07,2012-07-19,210874.0,L,1625000.0,WF,2012.0,12,7,Original
Halstead,EB,ID,2012-07-27,2012-10-18,181948.0,L,26413932.0,WF,2012.0,83,7,Original
Rosebud Creek Complex,Unknown,MT,2012-08-01,2012-08-16,171444.0,L,9000000.0,WF,2012.0,15,8,Original
Miller Homestead,NW,OR,2012-07-08,2012-09-21,160853.0,L,6000000.0,WF,2012.0,75,7,Original
Trinity Ridge,EB,ID,2012-08-03,2012-10-18,146832.0,H,41228912.0,WF,2012.0,76,8,Original
Flat Top 2,EB,ID,2012-08-05,2012-08-13,140954.0,L,600000.0,WF,2012.0,8,8,Original
Chalky,Unknown,MT,2012-08-01,2012-08-03,131000.0,L,50000.0,WF,2012.0,2,8,Original
Clay Springs,EB,UT,2012-06-27,2012-07-24,107847.0,U,6659000.0,WF,2012.0,27,6,Original
Arapaho,RM,WY,2012-06-27,2012-07-16,98115.0,L,13100000.0,WF,2012.0,19,6,Original
Minidoka Complex,EB,ID,2012-08-08,2012-08-23,97616.0,L,5801271.0,WF,2012.0,15,8,Original
Barry Point,NW,OR,2012-08-06,2012-09-17,93071.0,L,23247235.0,WF,2012.0,42,8,Original
High Park,RM,CO,2012-06-09,2012-07-11,87284.0,L,38400000.0,WF,2012.0,32,6,Original
Region 23 Complex,RM,NE,2012-08-28,2012-09-09,86201.0,L,5300000.0,WF,2012.0,12,8,Original
Sarpy Hills Complex,Unknown,MT,2012-07-31,2012-08-09,82000.0,L,4120000.0,WF,2012.0,9,7,Original
Barker Canyon Complex,NW,WA,2012-09-08,2012-09-15,81155.0,L,2290268.0,WF,2012.0,7,9,Original
Wellnitz,RM,NE,2012-08-29,2012-09-06,77683.0,L,1300000.0,WF,2012.0,8,8,Original
Region 24 Complex,RM,NE,2012-07-20,2012-07-29,76242.0,L,3251141.0,WF,2012.0,9,7,Original
"Southeastern Montana
Complex",Unknown,MT,2012-07-03,2012-07-11,75501.0,L,5105000.0,WF,2012.0,8,7,Original
Chips,NO,CA,2012-07-29,2012-09-08,75431.0,U,53300000.0,WF,2012.0,41,7,Original
Cache Creek,NW,OR,2012-08-20,2012-10-23,73697.0,L,11250000.0,WF,2012.0,64,8,Original
Powell SBW Complex,Unknown,ID,2012-07-20,2012-11-05,67611.0,L,4882375.0,WF,2012.0,108,7,Original
Fontenelle,EB,WY,2012-06-24,2012-10-18,65220.0,U,12650000.0,WF,2012.0,116,6,Original
Oil Creek,RM,WY,2012-06-29,2012-07-09,62318.0,Unknown,5282964.0,WF,2012.0,10,6,Original
Lost,NO,CA,2012-08-05,2012-08-12,61541.0,L,3700000.0,WF,2012.0,7,8,Original
Freedom Hill,SA,OK,2012-08-03,2012-08-20,58500.0,H,200000.0,WF,2012.0,17,8,Original
