Name,Start_Date,Last_Report_Date,Size_Acres,Cost,Year,Duration_Days,Start_Month,Start_Year,Start_Day,Start_Weekday,Last_Year,GACC_EB,GACC_GB,GACC_NO,GACC_NW,GACC_NW/WB,GACC_RM,GACC_SA,GACC_SO,GACC_SW,GACC_Unknown,GACC_WB,State_AZ,State_CA,State_CO,State_FL,State_GA,State_ID,State_KS,State_MN,State_MT,State_NC,State_NE,State_NM,State_NV,State_OK,State_OR,State_OR/NV,State_SD,State_TX,State_UT,State_WA,State_WY,Cause_L,Cause_N,Cause_U,Cause_Unknown
Perryton,2017-03-06,2017-03-13,318156.0,7925100.0,2017.0,7,3,2017,6,0,2017,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Thomas,2017-12-04,2017-12-31,270000.0,123836000.0,2017.0,27,12,2017,4,0,2017,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Lodgepole
Complex",2017-07-20,2017-08-11,270000.0,7925100.0,2017.0,22,7,2017,20,3,2017,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Roosters Comb,2017-07-09,2017-07-24,218380.0,4000000.0,2017.0,15,7,2017,9,6,2017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Chetco Bar,2017-07-12,2017-10-26,191125.0,72000000.0,2017.0,106,7,2017,12,2,2017,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Rice Ridge,2017-07-24,2017-10-17,160187.0,49251000.0,2017.0,85,7,2017,24,0,2017,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
"Four Seasons
Complex",2017-07-16,2017-07-25,159986.0,7925100.0,2017.0,9,7,2017,16,6,2017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
West Mims,2017-04-06,2017-06-29,152515.0,45500000.0,2017.0,84,4,2017,6,3,2017,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Lefors East,2017-03-07,2017-03-10,135000.0,7925100.0,2017.0,3,3,2017,7,1,2017,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Diamond Creek,2017-07-23,2017-10-05,128272.0,14760000.0,2017.0,74,7,2017,23,6,2017,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
"Central LNU
Complex",2017-10-09,2017-10-10,110720.0,7925100.0,2017.0,1,10,2017,9,0,2017,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Sartin Draw,2017-08-30,2017-09-04,99735.0,1500000.0,2017.0,5,8,2017,30,2,2017,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Truckee,2017-07-03,2017-07-11,98960.0,2120260.0,2017.0,8,7,2017,3,0,2017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Tohakum 2,2017-08-29,2017-07-11,94221.0,3456000.0,2017.0,-49,8,2017,29,1,2017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Campbell River,2017-06-26,2017-10-12,93520.0,7925100.0,2017.0,108,6,2017,26,0,2017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Oak,2017-08-12,2017-09-23,86830.0,7925100.0,2017.0,42,8,2017,12,5,2017,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Highline,2017-07-28,2017-09-21,84619.0,2167864.0,2017.0,55,7,2017,28,4,2017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Long Valley,2017-07-11,2017-07-21,83733.0,11953000.0,2017.0,10,7,2017,11,1,2017,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Modoc July
Complex",2017-07-24,2017-08-13,83120.0,7925100.0,2017.0,20,7,2017,24,0,2017,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Detwiler,2017-07-16,2017-08-07,81826.0,90000000.0,2017.0,22,7,2017,16,6,2017,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"White Mountain
Creek",2017-07-03,2017-10-05,78857.0,7925100.0,2017.0,94,7,2017,3,0,2017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Eclipse Complex,2017-08-15,2017-10-08,78698.0,46006691.0,2017.0,54,8,2017,15,1,2017,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Brush Flat,2017-08-31,2017-09-04,73797.0,400000.0,2017.0,4,8,2017,31,3,2017,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Brianhead,2017-06-17,2017-07-24,71673.0,3660000.0,2017.0,37,6,2017,17,5,2017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Nena Springs,2017-08-08,2017-08-29,68007.0,8900000.0,2017.0,21,8,2017,8,1,2017,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
